"Meal.Plan.Description","Year","Predicted.Price","Inflation.Rate","Adjusted.Price","R2"
"Campanile",2025,4116.00000000023,0.03,4239.48000000024,1
"Campanile",2026,4304.00000000035,0.03,4566.11360000037,1
"Campanile",2027,4492.00000000041,0.03,4908.52968400044,1
"Campanile",2028,4680.00000000052,0.03,5267.38123080059,1
"50 Meal Blocks",2025,671,0.03,691.13,0.889326668626875
"50 Meal Blocks",2026,692.300000000003,0.03,734.461070000003,0.889326668626875
"50 Meal Blocks",2027,713.599999999999,0.03,779.769987199998,0.889326668626875
"50 Meal Blocks",2028,734.900000000001,0.03,827.136424469002,0.889326668626875
"100 Meal Blocks",2025,1349.00000000009,0.03,1389.47000000009,1
"100 Meal Blocks",2026,1411.00000000012,0.03,1496.92990000012,1
"100 Meal Blocks",2027,1473.00000000015,0.03,1609.58687100016,1
"100 Meal Blocks",2028,1535.00000000017,0.03,1727.6560233502,1
