Building,Spring 2025,Fall 2024,Spring 2024,Fall 2023,Spring 2023,Fall 2022,Spring 2022,Fall 2021,Spring 2021
Barton Hall,81,85,85,86,83,86,87,89,73
Birch Hall,151,161,147,160,154,158,151,161,123
Elm Hall,181,190,179,179,161,176,168,186,0
Freeman Hall,68,63,60,61,67,65,43,38,67
Larch Hall,444,464,439,466,442,479,459,490,435
Linden Hall,273,289,277,288,267,292,0,0,0
Lyon Hall,99,103,103,99,97,102,105,107,88
Maple Hall,427,428,413,437,415,437,425,443,379
Oak Hall,219,233,202,207,196,218,183,218,0
Roberts Hall,97,101,96,102,90,100,91,104,80
Welch Hall,168,171,165,177,164,172,170,178,122
Willow Hall,450,472,449,471,457,487,431,487,428
Buchanan Hall,364,379,371,379,365,383,357,389,345
Geoffroy Hall,686,717,686,716,681,721,685,722,643
Wallace Hall,238,246,255,262,208,222,0,0,179
Wilson Hall,435,506,411,500,0,0,0,0,374
Schilletter and University Village,1025,1080,956,1029,988,1029,985,1035,902
Eaton Hall,300,308,301,312,305,311,300,315,270
Friley Hall,855,890,833,860,915,1036,1017,1058,908
Helser Hall,649,667,638,672,639,670,623,669,549
Martin Hall,270,286,295,314,311,308,300,319,257
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
