"Meal Plan Description","Term","Price (Year)","Price (Semester)"
"Cardinal","Fall 2024",5108,2554
"Cardinal","Spring 2025",5108,2554
"Gold","Fall 2024",4800,2400
"Gold","Spring 2025",4800,2400
"Campanile","Fall 2024",3928,1964
"Campanile","Spring 2025",3928,1964
"Flex","Fall 2024",NA,NA
"Flex","Spring 2025",NA,NA
"Cyclone","Fall 2024",NA,NA
"Cyclone","Spring 2025",NA,NA
"Silver","Fall 2024",NA,NA
"Silver","Spring 2025",NA,NA
"Bronze","Fall 2024",NA,NA
"Bronze","Spring 2025",NA,NA
"25 Meal Blocks","Fall 2024",336,NA
"25 Meal Blocks","Spring 2025",336,NA
"50 Meal Blocks","Fall 2024",656,NA
"50 Meal Blocks","Spring 2025",656,NA
"85 Meal Blocks","Fall 2024",NA,NA
"85 Meal Blocks","Spring 2025",NA,NA
"100 Meal Blocks","Fall 2024",1287,NA
"100 Meal Blocks","Spring 2025",1287,NA
"105 Meal Blocks","Fall 2024",NA,NA
"105 Meal Blocks","Spring 2025",NA,NA
"Cardinal","Fall 2023",4864,2432
"Cardinal","Spring 2024",4864,2432
"Gold","Fall 2023",4570,2285
"Gold","Spring 2024",4570,2285
"Campanile","Fall 2023",3740,1870
"Campanile","Spring 2024",3740,1870
"Flex","Fall 2023",NA,NA
"Flex","Spring 2024",NA,NA
"Cyclone","Fall 2023",NA,NA
"Cyclone","Spring 2024",NA,NA
"Silver","Fall 2023",NA,NA
"Silver","Spring 2024",NA,NA
"Bronze","Fall 2023",NA,NA
"Bronze","Spring 2024",NA,NA
"25 Meal Blocks","Fall 2023",320,NA
"25 Meal Blocks","Spring 2024",320,NA
"50 Meal Blocks","Fall 2023",625,NA
"50 Meal Blocks","Spring 2024",625,NA
"85 Meal Blocks","Fall 2023",NA,NA
"85 Meal Blocks","Spring 2024",NA,NA
"100 Meal Blocks","Fall 2023",1225,NA
"100 Meal Blocks","Spring 2024",1225,NA
"105 Meal Blocks","Fall 2023",NA,NA
"105 Meal Blocks","Spring 2024",NA,NA
"Cardinal","Fall 2022",4633,2316
"Cardinal","Spring 2023",4633,2316
"Gold","Fall 2022",4353,2176
"Gold","Spring 2023",4353,2176
"Campanile","Fall 2022",NA,NA
"Campanile","Spring 2023",NA,NA
"Flex","Fall 2022",5076,2538
"Flex","Spring 2023",5076,2538
"Cyclone","Fall 2022",5076,2538
"Cyclone","Spring 2023",5076,2538
"Silver","Fall 2022",3980,1990
"Silver","Spring 2023",3980,1990
"Bronze","Fall 2022",3380,1690
"Bronze","Spring 2023",3380,1690
"25 Meal Blocks","Fall 2022",305,NA
"25 Meal Blocks","Spring 2023",305,NA
"50 Meal Blocks","Fall 2022",595,NA
"50 Meal Blocks","Spring 2023",595,NA
"85 Meal Blocks","Fall 2022",989,NA
"85 Meal Blocks","Spring 2023",989,NA
"100 Meal Blocks","Fall 2022",NA,NA
"100 Meal Blocks","Spring 2023",NA,NA
"105 Meal Blocks","Fall 2022",1193,NA
"105 Meal Blocks","Spring 2023",1193,NA
"Cardinal","Fall 2021",4498,2249
"Cardinal","Spring 2022",4498,2249
"Gold","Fall 2021",4226,2113
"Gold","Spring 2022",4226,2113
"Campanile","Fall 2021",NA,NA
"Campanile","Spring 2022",NA,NA
"Flex","Fall 2021",4928,2464
"Flex","Spring 2022",4928,2464
"Cyclone","Fall 2021",4928,2464
"Cyclone","Spring 2022",4928,2464
"Silver","Fall 2021",3864,1932
"Silver","Spring 2022",3864,1932
"Bronze","Fall 2021",3282,1641
"Bronze","Spring 2022",3282,1641
"25 Meal Blocks","Fall 2021",305,NA
"25 Meal Blocks","Spring 2022",305,NA
"50 Meal Blocks","Fall 2021",595,NA
"50 Meal Blocks","Spring 2022",595,NA
"85 Meal Blocks","Fall 2021",961,NA
"85 Meal Blocks","Spring 2022",961,NA
"100 Meal Blocks","Fall 2021",NA,NA
"100 Meal Blocks","Spring 2022",NA,NA
"105 Meal Blocks","Fall 2021",1158,NA
"105 Meal Blocks","Spring 2022",1158,NA
